legacy_delivery_surface_report_version=1
mode=report
source_files_scanned=3056
built_images_scanned=0
source_contents_emitted=false
rancher_fleet_runtime_policy=prohibited
historical_allowlist_is_runtime_authorization=false
generated_chart=helm_template
generated_cli=go_run
summary scope=active_runtime signature=banned_rancher_fleet files=0 matches=0
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/values.yaml matches=17
surface scope=active_runtime signature=legacy_argo path=deploy/chart_crd_schema_test.go matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart_env_isolation_test.go matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/chart_operational_contract_test.go matches=28
surface scope=active_runtime signature=legacy_argo path=deploy/chartrepo.go matches=11
surface scope=active_runtime signature=legacy_argo path=deploy/chartrepo_test.go matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/dex_runtime_secret_render_test.go matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/k3s-install.sh matches=8
surface scope=active_runtime signature=legacy_argo path=deploy/networkpolicy_render_test.go matches=22
surface scope=active_runtime signature=legacy_argo path=deploy/release_image_contract_test.go matches=3
surface scope=active_runtime signature=legacy_argo path=docs/DEFERRED-ITEMS-PLAN.md matches=6
surface scope=active_runtime signature=legacy_argo path=docs/SWEEP-REMEDIATION-PLAN.md matches=24
surface scope=active_runtime signature=legacy_argo path=docs/SWEEP3-REMEDIATION-PLAN.md matches=22
surface scope=active_runtime signature=legacy_argo path=docs/SWEEP4-REMEDIATION-PLAN.md matches=4
surface scope=active_runtime signature=legacy_argo path=docs/agent-authz-security-review.md matches=1
surface scope=active_runtime signature=legacy_argo path=docs/agent-privilege-profiles.md matches=7
